Var1,Var2,Var3
83332.Rv2193,83332.Rv3043c,999
83332.Rv2194,83332.Rv2196,996
83332.Rv2195,83332.Rv2196,998
83332.Rv2196,83332.Rv2194,996
83332.Rv2196,83332.Rv2195,998
83332.Rv2200c,83332.Rv3043c,997
83332.Rv2207,83332.Rv0306,997
83332.Rv2207,83332.Rv2208,996
83332.Rv2208,83332.Rv0254c,996
83332.Rv2208,83332.Rv2207,996
83332.Rv2210c,83332.Rv0189c,996
83332.Rv2211c,83332.Rv1826,999
83332.Rv2211c,83332.Rv1832,999
83332.Rv2215,83332.Rv0462,997
83332.Rv2215,83332.Rv2496c,998
83332.Rv2215,83332.Rv2497c,996
83332.Rv2217,83332.Rv2218,999
83332.Rv2218,83332.Rv2217,999
83332.Rv2243,83332.Rv0533c,996
83332.Rv2243,83332.Rv2245,998
83332.Rv2243,83332.Rv2246,997
83332.Rv2244,83332.Rv2245,999
83332.Rv2244,83332.Rv2246,998
83332.Rv2245,83332.Rv2243,998
83332.Rv2245,83332.Rv2244,999
83332.Rv2246,83332.Rv2243,997
83332.Rv2246,83332.Rv2244,998
83332.Rv2321c,83332.Rv2322c,999
83332.Rv2322c,83332.Rv2321c,999
83332.Rv2334,83332.Rv2335,999
83332.Rv2335,83332.Rv2334,999
83332.Rv2391,83332.Rv2392,997
83332.Rv2392,83332.Rv1286,997
83332.Rv2392,83332.Rv2391,997
83332.Rv2397c,83332.Rv2398c,998
83332.Rv2397c,83332.Rv2399c,998
83332.Rv2397c,83332.Rv2400c,999
83332.Rv2398c,83332.Rv2397c,998
83332.Rv2398c,83332.Rv2399c,997
83332.Rv2398c,83332.Rv2400c,999
83332.Rv2399c,83332.Rv2397c,998
83332.Rv2399c,83332.Rv2398c,997
83332.Rv2399c,83332.Rv2400c,999
83332.Rv2400c,83332.Rv2397c,999
83332.Rv2400c,83332.Rv2398c,999
83332.Rv2400c,83332.Rv2399c,999
83332.Rv2427c,83332.Rv0500,997
83332.Rv2427c,83332.Rv2439c,999
83332.Rv2428,83332.Rv2429,998
83332.Rv2429,83332.Rv2428,998
83332.Rv2439c,83332.Rv2427c,999
83332.Rv2441c,83332.Rv2442c,999
83332.Rv2441c,83332.Rv2916c,999
83332.Rv2442c,83332.Rv2441c,999
83332.Rv2442c,83332.Rv2916c,999
83332.Rv2454c,83332.Rv2455c,999
83332.Rv2455c,83332.Rv2454c,999
83332.Rv2482c,83332.Rv2483c,996
83332.Rv2483c,83332.Rv2482c,996
83332.Rv2495c,83332.Rv2496c,999
83332.Rv2495c,83332.Rv2497c,999
83332.Rv2496c,83332.Rv0843,999
83332.Rv2496c,83332.Rv2215,998
83332.Rv2496c,83332.Rv2495c,999
83332.Rv2496c,83332.Rv2497c,999
83332.Rv2497c,83332.Rv2215,996
83332.Rv2497c,83332.Rv2495c,999
83332.Rv2497c,83332.Rv2496c,999
83332.Rv2501c,83332.Rv2502c,997
83332.Rv2502c,83332.Rv2501c,997
83332.Rv2503c,83332.Rv2504c,999
83332.Rv2504c,83332.Rv2503c,999
83332.Rv2537c,83332.Rv2538c,998
83332.Rv2538c,83332.Rv2537c,998
83332.Rv2538c,83332.Rv2539c,999
83332.Rv2538c,83332.Rv2540c,997
83332.Rv2539c,83332.Rv2538c,999
83332.Rv2539c,83332.Rv2552c,998
83332.Rv2539c,83332.Rv3227,999
83332.Rv2540c,83332.Rv2538c,997
83332.Rv2552c,83332.Rv2539c,998
83332.Rv2586c,83332.Rv2587c,999
83332.Rv2587c,83332.Rv2586c,999
83332.Rv2592c,83332.Rv2593c,999
83332.Rv2592c,83332.Rv2594c,999
83332.Rv2593c,83332.Rv2592c,999
